idNum	individ_score	GEOG_SCORE	ART_SCORE	LANG_SCORE	WEIGHT_SCORE	Copied_score	Condition	o_score	CopCopied	CopHobs	CopyFreq	CopScore	age	Sex	edu	location
2	49	12	12	13	12	4	A	53	3	2	5	0	33	Female	Doctorate	Falmouth
4	64	16	18	13	17	0	A	64	0	0	0	0	22	Female	A level/ equivalent	Johnstone 
14	51	14	7	8	22	21	A	72	1	35	35	0	54	Male	Degree BSc/BA/equivalent	Canterbury
16	65	12	14	17	22	3	A	68	2	1	3	0	51	Male	Doctorate	milton keynes
18	58	12	13	13	20	0	A	58	0	0	0	0	40	Male		
21	54	16	9	13	16	1	A	55	0	1	1	0	32	Female	GCSE or equivalent	Manchester
22	63	15	15	15	18	0	A	63	0	0	0	0	23	Female	A level/ equivalent	London
28	62	17	15	13	17	0	A	62	0	0	0	0	21	Male	A level/ equivalent	Forfar
37	55	11	17	15	12	0	A	55	0	1	1	0	30	Female	Masters level MSc/MRes/MA/equivalent	Oxford 
38	64	12	12	17	23	1	A	65	0	2	2	0	22	Male	A level/ equivalent	
41	53	9	14	14	16	0	A	53	0	0	0	0	47	Male	Masters level MSc/MRes/MA/equivalent	
42	63	13	15	16	19	1	A	64	1	0	1	0	26	Female	A level/ equivalent	Milton Keynes
46	70	15	14	16	25	4	A	74	0	5	5	0	25	Female	A level/ equivalent	Glasgow
52	72	14	20	19	19	0	A	72	0	0	0	0	46	Female	GCSE or equivalent	Chesterfield
53	74	18	20	13	23	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	middlesbrough
55	50	9	15	14	12	0	A	50	0	0	0	0	20 years old	Female	Prefer not to say	Carlisle
59	59	17	17	12	13	0	A	59	0	0	0	0	61	Female	GCSE or equivalent	Wolverhampton
60	63	18	10	14	21	0	A	63	1	0	1	0	20	Female	Degree BSc/BA/equivalent	Edinburgh 
61	74	21	15	17	21	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	Norwich
63	52	15	11	10	16	1	A	53	1	0	1	0	35	Male	GCSE or equivalent	London 
64	67	17	14	14	22	0	A	67	0	0	0	0	26	Female	Degree BSc/BA/equivalent	London
66	49	12	8	13	16	0	A	49	0	0	0	0	19	Female	A level/ equivalent	London
