Idnum	individScore	geogScore	artScore	langScore	weightScore	Copied_score	Condition	o_score	copCopied	copHobs	copyFreq	copScore	age	gender	edu	city	Q1A	Q1B	Q1C	Q2A	Q2B	Q2C	Q3A	Q3B	Q3C	Q4A	Q4B	Q4C	Q5A	Q5B	Q5C	Q6A	Q6B	Q6C	Q7A	Q7B	Q7C	Q8A	Q8B	Q8C	Q9A	Q9B	Q9C	Q10A	Q10B	Q10C	Q11A	Q11B	Q11C	Q12A	Q12B	Q12C	Q13A	Q13B	Q13C	Q14A	Q14B	Q14C	Q15A	Q15B	Q15C	Q16A	Q16B	Q16C	Q17A	Q17B	Q17C	Q18A	Q18B	Q18C	Q19A	Q19B	Q19C	Q20A	Q20B	Q20C	Q21A	Q21B	Q21C	Q22A	Q22B	Q22C	Q23A	Q23B	Q23C	Q24A	Q24B	Q24C	Q25A	Q25B	Q25C	Q26A	Q26B	Q26C	Q27A	Q27B	Q27C	Q28A	Q28B	Q28C	Q29A	Q29B	Q29C	Q30A	Q30B	Q30C	Q31A	Q31B	Q31C	Q32A	Q32B	Q32C	Q33A	Q33B	Q33C	Q34A	Q34B	Q34C	Q35A	Q35B	Q35C	Q36A	Q36B	Q36C	Q37A	Q37B	Q37C	Q38A	Q38B	Q38C	Q39A	Q39B	Q39C	Q40A	Q40B	Q40C	Q41A	Q41B	Q41C	Q42A	Q42B	Q42C	Q43A	Q43B	Q43C	Q43A	Q44B	Q44C	Q45A	Q45B	Q45C	Q46A	Q46B	Q46C	Q47A	Q47B	Q47C	Q48A	Q48B	Q48C	Q49A	Q49B	Q49C	Q50A	Q50B	Q50C	Q51A	Q51B	Q51C	Q52A	Q52B	Q52C	Q53A	Q53B	Q53C	Q54A	Q54B	Q54C	Q55A	Q55B	Q55C	Q56A	Q56B	Q56C	Q57A	Q57B	Q57C	Q58A	Q58B	Q58C	Q59A	Q59B	Q59C	Q60A	Q60B	Q60C	Q61A	Q61B	Q61C	Q62A	Q62B	Q62C	Q63A	Q63B	Q63C	Q64A	Q64B	Q64C	Q65A	Q65B	Q65C	Q66A	Q66B	Q66C	Q67A	Q67B	Q67C	Q68A	Q68B	Q68C	Q69A	Q69B	Q69C	Q70A	Q70B	Q70C	Q71A	Q71B	Q71C	Q72A	Q72B	Q72C	Q73A	Q73B	Q73C	Q74A	Q74B	Q74C	Q75A	Q75B	Q75C	Q76A	Q76B	Q76C	Q77A	Q77B	Q77C	Q78A	Q78B	Q78C	Q79A	Q79B	Q79C	Q80A	Q80B	Q80C	Q81A	Q81B	Q81C	Q82A	Q82B	Q82C	Q83A	Q83B	Q83C	Q84A	Q84B	Q84C	Q85A	Q85B	Q85C	Q86A	Q86B	Q86C	Q87A	Q87B	Q87C	Q88A	Q88B	Q88C	Q89A	Q89B	Q89C	Q90A	Q90B	Q90C	Q91A	Q91B	Q91C	Q92A	Q92B	Q92C	Q93A	Q93B	Q93C	Q94A	Q94B	Q94C	Q95A	Q95B	Q95C	Q96A	Q96B	Q96C	Q97A	Q97B	Q97C	Q98A	Q98B	Q98C	Q99A	Q99B	Q99C	Q100A	Q100B	Q100C	why1	why2
1	67	13	20	16	18	2	B	69	3	1	4	0	999	Other	No formal education completed	entebbe																										I was copied twice																								I was copied 5 times																																																																																																												I was copied 6 times																																																																																																																																																
2	49	12	12	13	12	4	A	53	3	2	5	0	33	Female	Doctorate	Falmouth																																																	I was copied 3 times																		I was copied 5 times																																																																																																																																													I was never copied																																																																																													liked them	didn't like them
3	65	15	22	14	14	0	C	65	0	0	0	0	23	Female	A level/ equivalent	Halifax																																																																																																																																																																																																																																																																																																													I didnt	My guess was as good as theirs
4	64	16	18	13	17	0	A	64	0	0	0	0	22	Female	A level/ equivalent	Johnstone 																																																																																																																																																																																																																																																																																																													I didnt	Rather pass or fail on my own answers
5	57	15	10	14	18	1	B	58	1	0	1	0	45	Female	Masters level MSc/MRes/MA/equivalent	Edinburgh																																																											I was copied once																																																																																																																																																																																																																																																			
6	50	13	11	12	14	0	B	50	1	0	1	0	18	Male	GCSE or equivalent	Wigan		I was never copied																																																																																																																																																																																																																																																																																																											Hard	I knew it
7	82	22	24	13	23	0	B	82	1	0	1	0	62	Male	A level/ equivalent	Newcastle																																																																																																																																																																																																		I was copied once																																																																																																											Require help	Confidence
8	56	9	16	14	17	4	C	60	1	0	7	6	29	Male	Masters level MSc/MRes/MA/equivalent	manchester																																													I was copied 3 times																																																																																																																																																																																																																																																																i do no known	to be specific
9	25	0	8	16	1	0	C	25	0	0	1	0	60	Female	Degree BSc/BA/equivalent	Sheffied																																																																																																																																																																																																																																																																																																													I do not	Is is cheating
10	82	23	20	20	19	0	B	82	0	0	0	0	38	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													I didn't	I wanted to know how I could do on my own
11	64	11	14	18	21	1	B	65	1	0	1	0	43	Male	GCSE or equivalent	Leeds																																																																																																																																																																																I was copied twice																																																																																																																													Was a hard choice 	I thought I knew the answer 
12	77	18	23	15	21	0	C	77	0	0	2	2	55	Male	Degree BSc/BA/equivalent	Cambridge																																																																																																																																																																																																																																																																																																													wasn't convinced that my answer was correct	i was sure of the answer
13	55	15	11	14	15	1	C	56	1	0	1	0	30	Female	Masters level MSc/MRes/MA/equivalent	London 																																																																																																																																																																																																												I was copied once																																																																																																		
14	51	14	7	8	22	21	A	72	1	35	35	0	54	Male	Degree BSc/BA/equivalent	Canterbury							I was copied 5 times																																																																																																																																																																																																																																																																																																						Only when I definitely did not know the answer	Educated Guess
15	76	18	23	16	19	1	B	77	1	1	2	0	25	Female	Degree BSc/BA/equivalent	London																																																																										I was copied once																																																																																																																																																																																																																																			"I wanted to try it out, and I was certain I had no idea"	"For most I had an idea, also the 10 second rule made me go with my gut rather than deliberate and contemplate copying"
16	65	12	14	17	22	3	A	68	2	1	3	0	51	Male	Doctorate	milton keynes																																											I was copied once																																																																																																																																																																																																																																				I was copied 5 times																														if i have no idea to the answer	i know or think i know the answer
17	73	17	18	20	18	2	C	75	0	0	3	3	24	Female	Masters level MSc/MRes/MA/equivalent	St Andrews																																																																																																																																																																																																																																																																																																													I don't know anything about the specific question.	I know the answer or at least something about the question.
18	58	12	13	13	20	0	A	58	0	0	0	0	40	Male																																																																																																																																																																																																																																																																																																																
