ID	FILM	F_OTHER	SPORT	S_OTHER	FOOD	FD_OTHER	MUSIC	M_OTHER	INSTRUMENTS	I_OTHER	HOBBY1	HOB_NUM1	HOBBY2	HOB_NUM2	HOBBY3	HOB_NUM3	AGE	GENDER	EDU	CITY	Overall Score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE
100	"1,3"		"3,7,8,9"		"4,6"		5		12		Reading	13	Writing	0	Baking	0	20	2	4	Durham 	58	12	12	13	21
66	4		3		5		8		2		Skateboarding	29	Yoga	7	Basketball	0	20	1	6	Bristol	64	16	16	14	18
11	6		1		4		9		4		Football	5	Gym	3	Cinema	4	26	2	6	Manchester	47	14	10	12	11
7	2		4		6		1		12		Writing 	7	Reading	4	Cinema	4	54	2	3	Birmingham 	60	11	20	11	18
59	"1,2,4,5,6"		"1,2,8"		"2,3,4,6,7,10"		9		1		Collecting dvds	27	Drawing	0	Collecting ornaments 	0	32	2	1	Stoke on trent	54	15	13	15	11
45	4		11	swimming	3		1		1		painting	10	knitting	0	collecting victorian valentines		53	2	6	London	76	14	25	19	18
71	"1,4"		2		3		5		12		running	23	reading	4	computer games 	1	45	1	6	Liverpool 	59	13	15	14	17
61	5		6		11	"Mix. Im eating everything, and want to try out new food aswell"	9		12		Fishing	16	Cycling	0	cooking	0	27	1	4	Manchester	66	15	13	18	20
31	"1,2,5,6"		"6,9"		4		"5,9"		1		Reading	13	Gaming	2	Cooking	0	26	2	4	Newcastle	68	14	17	15	22
28	"1,6,9"		"1,6,9"		11	Bulgarian	"1,8,10"		12		Cooking	4	Art	0	Craft	6	42	2	7	Blackburn	66	16	15	18	17
22	1		2		4		9		4		Football	5	Table tennis	0	Cricket	0	20	1	6	London	48	16	9	13	10
36	6		7		4		5		2		Swimming	11	Cooking	1	Cross stitch	6	24	2	4	Birmingham	59	15	15	13	16
48	2		2		6		5		1		reading	13	cooking	1	cycling	0	30	1	7	poole	62	12	16	15	19
51	8		9		6		8		12		Listening to music	18	Walking	6	Cycling	0	38	2	3	Exeter	60	13	16	13	18
82	2		11	Golf	6		8		12		Jigsaw 	32	Golf	0	Cycling 	0	56	1	3	Plymouth 	71	17	18	13	23
93	"1,2,5"		"1,2,3,7"		"4,6"		"5,8,10"		"1,2,3"		Running	23	Watching the television 	0	Cycling 	0	20	1	6	Blackburn 	66	18	14	11	23
75	1		9		4		9		12		Swimming	11	Walkinh	6	Dancing	0	33	2	3	Windsor	58	12	13	16	17
57	5		1		4		6		3		stamp collecting	28	snooker 	0	darts	0	58	1	6	birmingham	75	18	18	19	20
50	4		2		4		2		12		walking	21	reading	4	dining	0	42	2	3	deeside	70	16	15	19	20
103	6		6		10		7		1		fishing	16	gaming	2	drawing	0	18	1	3	London	59	12	14	14	19
