idNum	Q_TotalDuration	individ score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE	Copied_score	Condition	o_score	CopCopied	CopHobs	CopyFreq	CopScore	age	sex	edu	location	IC_1	IC_2	IC_3	IC_4	IC_5	IC_6	IC_7	IC_8	IC_9	IC_10	IC_11	IC_12	IC_13	IC_14	IC_15	IC_16	IC_17	IC_18	IC_19	IC_20	IC_21	IC_22	IC_23	IC_24	IC_25	IC_26	IC_27	IC_28	IC_29	IC_30	IC_31	IC_32	IC_33	IC_34	IC_35	IC_36	IC_37	IC_38	IC_39	IC_40	IC_41	IC_42	IC_43	IC_44	IC_45	IC_46	IC_47	IC_48	IC_49	IC_50	IC_51	IC_52	IC_53	IC_54	IC_55	IC_56	IC_57	IC_58	IC_59	IC_60	IC_61	IC_62	IC_63	IC_64	IC_65	IC_66	IC_67	IC_68	IC_69	IC_70	IC_71	IC_72	IC_73	IC_74	IC_75	IC_76	IC_77	IC_78	IC_79	IC_80	IC_81	IC_82	IC_83	IC_84	IC_85	IC_86	IC_87	IC_88	IC_89	IC_90	IC_91	IC_92	IC_93	IC_94	IC_95	IC_96	IC_97	IC_98	IC_99	IC_100	IC_101	IC_102	IC_103	IC_104	IC_105	IC_106	IC_107	IC_108	IC_109	IC_110	IC_111	IC_112	IC_113	IC_114	IC_115	IC_116	IC_117	IC_118	IC_119	IC_120	IC_121	IC_122	IC_123	IC_124	IC_125	IC_126	IC_127	IC_128	IC_129	IC_130	IC_131	IC_132	IC_133	IC_134	IC_135	IC_136	IC_137	IC_138	IC_139	IC_140	IC_141	IC_142	IC_143	IC_144	IC_145	IC_146	IC_147	IC_148	IC_149	IC_150	IC_151	IC_152	IC_153	IC_154	IC_155	IC_156	IC_157	IC_158	IC_159	IC_160	IC_161	IC_162	IC_163	IC_164	IC_165	IC_166	IC_167	IC_168	IC_169	IC_170	IC_171	IC_172	IC_173	IC_174	IC_175	IC_176	IC_177	IC_178	IC_179	IC_180	IC_181	IC_182	IC_183	IC_184	IC_185	IC_186	IC_187	IC_188	IC_189	IC_190	IC_191	IC_192	IC_193	IC_194	IC_195	IC_196	IC_197	IC_198	IC_199	IC_200	IC_201	IC_202	IC_203	IC_204	IC_205	IC_206	IC_207	IC_208	IC_209	IC_210	IC_211	IC_212	IC_213	IC_214	IC_215	IC_216	IC_217	IC_218	IC_219	IC_220	IC_221	IC_222	IC_223	IC_224	IC_225	IC_226	IC_227	IC_228	IC_229	IC_230	IC_231	IC_232	IC_233	IC_234	IC_235	IC_236	IC_237	IC_238	IC_239	IC_240	IC_241	IC_242	IC_243	IC_244	IC_245	IC_246	IC_247	IC_248	IC_249	IC_250	IC_251	IC_252	IC_253	IC_254	IC_255	IC_256	IC_257	IC_258	IC_259	IC_260	IC_261	IC_262	IC_263	IC_264	IC_265	IC_266	IC_267	IC_268	IC_269	IC_270	IC_271	IC_272	IC_273	IC_274	IC_275	IC_276	IC_277	IC_278	IC_279	IC_280	IC_281	IC_282	IC_283	IC_284	IC_285	IC_286	IC_287	IC_288	IC_289	IC_290	IC_291	IC_292	IC_293	IC_294	IC_295	IC_296	IC_297	IC_298	IC_299	IC_300	CopyFreq	CopScore	fr_1	fr_2	CopCopied	CopHobs	CopyFreq	CopScore
2	620	49	12	12	13	12	4	A	53	3	2	5	0	33	Female	Doctorate	Falmouth																												How many times they were copied						One of their top three hobbies															How many times they were copied																																																																																																																																																			One of their top three hobbies									How many times they were copied																																																																																																5	1	liked them	didn't like them	3	2	5	0
4	732	64	16	18	13	17	0	A	64	0	0	0	0	22	Female	A level/ equivalent	Johnstone 																																																																																																																																																																																																																																																																																																													0	1	I didnt	Rather pass or fail on my own answers	0	0	0	0
14	2275	51	14	7	8	22	21	A	72	1	35	35	0	54	Male	Degree BSc/BA/equivalent	Canterbury	One of their top three hobbies												One of their top three hobbies			One of their top three hobbies																		One of their top three hobbies															One of their top three hobbies						One of their top three hobbies			One of their top three hobbies												One of their top three hobbies																																																																								One of their top three hobbies						One of their top three hobbies									One of their top three hobbies																		One of their top three hobbies			One of their top three hobbies						One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies																								One of their top three hobbies			One of their top three hobbies																					One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies						One of their top three hobbies			One of their top three hobbies									One of their top three hobbies			One of their top three hobbies			One of their top three hobbies						One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			One of their top three hobbies			35	1	Only when I definitely did not know the answer	Educated Guess	1	35	35	0
16	782	65	12	14	17	22	3	A	68	2	1	3	0	51	Male	Doctorate	milton keynes																						How many times they were copied																		One of their top three hobbies																																																																																																																																																																																																																																										How many times they were copied																											3	1	if i have no idea to the answer	i know or think i know the answer	2	1	3	0
18	726	58	12	13	13	20	0	A	58	0	0	0	0	40	Male																																																																																																																																																																																																																																																																																																															0	1			0	0	0	0
21	711	54	16	9	13	16	1	A	55	0	1	1	0	32	Female	GCSE or equivalent	Manchester																																																																																																																																																																																																																																														One of their top three hobbies																																																															1	1	Don't know it	Think I might know it 	0	1	1	0
22	1082	63	15	15	15	18	0	A	63	0	0	0	0	23	Female	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I did not copy anyone	I wanted to test my own knowledge	0	0	0	0
28	987	62	17	15	13	17	0	A	62	0	0	0	0	21	Male	A level/ equivalent	Forfar																																																																																																																																																																																																																																																																																																													0	1	I didn't.	Because i was focusing too much on the question to think about copying	0	0	0	0
37	593	55	11	17	15	12	0	A	55	0	1	1	0	30	Female	Masters level MSc/MRes/MA/equivalent	Oxford 																																														One of their top three hobbies																																																																																																																																																																																																																																																															1	1	Bits was hard	Cause u might FAIL	0	1	1	0
38	836	64	12	12	17	23	1	A	65	0	2	2	0	22	Male	A level/ equivalent																																																																																																																																																																																																																																																																																			One of their top three hobbies												One of their top three hobbies															2	1	because i didnt know the answer	i believed i knew the answer	0	2	2	0
41	538	53	9	14	14	16	0	A	53	0	0	0	0	47	Male	Masters level MSc/MRes/MA/equivalent																																																																																																																																																																																																																																																																																																														0	1	n/a	n/a	0	0	0	0
42	630	63	13	15	16	19	1	A	64	1	0	1	0	26	Female	A level/ equivalent	Milton Keynes																																																																																																																																																																																																																												How many times they were copied																																																																																	1	1	I did not know the answer	I like to do my own work	1	0	1	0
